name,position,team,games,pass_att,pass_cmp,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,rush_first_downs,rec_first_downs,fumbles_lost,two_point,fantasy_points
Sam Howell,QB,DAL,16.0,319.7,209.4,1915.9,12.1,7.9,31.1,139.3,1.6,0.2,0.1,1.1,0.0,10.9,0.0,0.2,0.2,202.1
TreVeyon Henderson,RB,NE,16.0,0.0,0.0,0.0,0.0,0.0,145.1,704.8,6.0,35.3,28.3,197.6,1.1,35.4,7.8,1.1,0.2,347.0
Theo Johnson,TE,NYG,16.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,60.8,40.3,441.3,3.5,0.2,21.6,0.3,0.2,234.0
Makai Lemon,WR,PHI,16.0,0.0,0.0,0.0,0.0,0.0,4.3,15.5,0.0,83.5,54.5,613.8,4.2,0.4,30.7,0.5,0.2,418.0
Omar Cooper,WR,NYJ,16.0,0.0,0.0,0.0,0.0,0.0,4.3,15.5,0.0,83.5,54.5,613.8,4.2,0.4,30.7,0.5,0.2,314.0
Jauan Jennings,WR,MIN,16.0,0.0,0.0,0.0,0.0,0.0,0.9,4.7,0.0,79.0,48.8,597.6,5.1,0.2,30.7,0.4,0.2,267.0
Carson Wentz,QB,MIN,16.0,305.1,199.8,1962.6,11.2,7.1,27.8,123.4,1.3,0.0,0.0,0.0,0.0,9.2,0.0,0.2,0.2,195.3
Jake Tonges,TE,SF,16.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4,0.0,58.2,42.3,404.5,3.9,0.3,23.5,0.3,0.2,220.0
Aidan O'Connell,QB,LV,16.0,313.5,205.4,1923.9,11.1,5.5,28.1,115.2,1.3,0.0,0.0,0.0,0.0,10.0,0.0,0.2,0.2,193.1
Rico Dowdle,RB,PIT,16.0,0.0,0.0,0.0,0.0,0.0,159.6,717.4,4.0,36.0,28.1,208.3,1.2,34.9,9.5,1.2,0.2,344.0
David Njoku,TE,LAC,16.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.0,62.7,43.3,411.7,3.7,0.2,18.6,0.3,0.2,292.7
Riley Leonard,QB,IND,16.0,286.3,187.5,1790.8,11.1,7.6,27.5,121.3,1.6,1.2,0.9,6.5,0.1,10.2,0.3,0.2,0.2,190.2
Joe Milton III,QB,DAL,16.0,256.2,167.8,1782.1,10.9,6.8,31.1,144.9,1.5,1.3,0.9,6.9,0.1,10.6,0.3,0.2,0.2,189.3
Jarrett Stidham,QB,DEN,16.0,267.1,175.0,1763.9,11.3,5.3,30.1,127.0,1.4,1.5,1.1,8.2,0.1,10.1,0.4,0.2,0.2,189.0
Anthony Richardson,QB,IND,16.0,244.9,160.4,1588.4,9.3,6.4,51.2,234.4,2.6,1.3,1.0,7.3,0.1,18.1,0.3,0.3,0.2,188.8
Mason Rudolph,QB,PIT,16.0,277.2,181.6,1780.8,11.2,7.3,29.6,119.8,1.4,0.9,0.7,5.1,0.1,10.6,0.2,0.2,0.2,188.5
Darius Slayton,WR,NYG,16.0,0.2,0.1,1.2,0.0,0.0,1.4,7.4,0.0,74.2,44.0,606.0,2.9,0.4,27.6,0.4,0.2,336.4
Gardner Minshew,QB,AZ,16.0,302.6,198.2,1838.9,10.3,7.3,28.8,114.2,1.3,0.9,0.7,4.8,0.1,9.0,0.2,0.2,0.2,186.1
Tyrone Tracy Jr.,RB,NYG,16.0,0.0,0.0,0.0,0.0,0.0,149.2,636.3,3.3,40.3,30.7,234.3,1.4,32.8,10.7,1.1,0.2,221.0
Mason Taylor,TE,NYJ,16.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1,0.0,60.9,42.3,395.3,2.7,0.2,21.9,0.3,0.2,296.0
Tommy Tremble,TE,CAR,16.0,0.3,0.2,0.0,0.0,0.0,0.5,1.2,0.0,56.8,41.0,402.6,3.2,0.2,19.2,0.3,0.2,279.6
Calvin Ridley,WR,TEN,16.0,0.0,0.0,0.0,0.0,0.0,2.8,14.8,0.1,73.0,41.1,589.2,3.0,0.8,26.4,0.3,0.2,332.3
Malik Washington,WR,MIA,16.0,0.3,0.2,1.5,0.0,0.0,10.6,59.0,0.4,83.8,56.0,539.4,3.9,2.9,26.7,0.5,0.2,329.0
Joe Flacco,QB,CIN,16.0,296.7,194.4,1779.3,11.5,6.9,20.2,74.8,1.0,0.5,0.4,2.9,0.0,7.3,0.1,0.1,0.2,182.6
RJ Harvey,RB,DEN,16.0,0.5,0.3,1.9,0.2,0.0,126.0,490.2,5.0,43.1,34.3,256.5,2.0,25.6,12.0,1.0,0.2,315.0
Tyson Bagent,QB,CHI,16.0,256.3,167.9,1692.4,10.1,5.6,31.1,132.8,1.5,1.3,1.0,7.1,0.1,10.5,0.3,0.2,0.2,180.5
Tyrod Taylor,QB,GB,16.0,267.0,174.9,1544.6,10.5,6.7,36.4,170.3,1.6,0.8,0.6,4.3,0.1,12.6,0.2,0.2,0.2,180.4
Troy Franklin,WR,DEN,16.0,0.0,0.0,0.0,0.0,0.0,3.3,17.3,0.1,79.6,48.4,554.3,4.1,0.9,25.6,0.4,0.2,325.6
Mitchell Trubisky,QB,TEN,16.0,223.7,146.6,1562.9,12.1,4.0,30.8,115.8,1.4,1.0,0.7,5.2,0.1,9.1,0.2,0.2,0.2,180.1
Bhayshul Tuten,RB,JAX,16.0,0.3,0.2,1.1,0.1,0.0,148.9,590.8,6.1,30.9,23.8,178.3,1.3,37.7,7.6,1.1,0.2,340.0
Brady Cook,QB,NYJ,16.0,344.4,225.6,1702.9,9.4,10.4,32.4,139.4,1.4,0.0,0.0,0.0,0.0,11.0,0.0,0.2,0.2,179.2
Drew Lock,QB,SEA,16.0,264.9,173.5,1623.1,10.4,5.8,31.4,131.8,1.5,1.1,0.8,6.0,0.1,10.4,0.3,0.2,0.2,178.9
Ricky Pearsall,WR,SF,16.0,0.2,0.1,1.1,0.0,0.0,2.0,10.3,0.1,65.7,42.7,575.0,2.6,0.5,28.8,0.4,0.2,322.9
Keon Coleman,WR,BUF,16.0,0.0,0.0,0.0,0.0,0.0,1.2,6.2,0.0,72.7,44.1,546.1,4.0,0.3,28.7,0.4,0.2,207.0
Alvin Kamara,RB,NO,16.0,0.0,0.0,0.0,0.0,0.0,142.7,559.5,3.2,45.4,36.5,251.8,1.2,28.3,10.3,1.1,0.2,282.8
Jalen McMillan,WR,TB,16.0,0.0,0.0,0.0,0.0,0.0,3.2,17.1,0.1,64.8,42.3,549.4,3.4,0.9,26.1,0.4,0.2,311.0
Trey Lance,QB,LAC,16.0,290.0,189.9,1519.2,8.6,5.5,42.9,192.6,1.8,1.2,0.9,6.5,0.1,14.4,0.3,0.3,0.2,175.1
Dontayvion Wicks,WR,PHI,16.0,0.3,0.2,1.7,0.1,0.0,1.8,9.4,0.1,72.1,44.6,536.4,3.6,0.5,29.0,0.4,0.2,315.6
Kenneth Gainwell,RB,TB,16.0,0.1,0.0,0.2,0.0,0.0,99.2,444.8,3.5,47.7,39.1,272.4,1.6,25.6,12.5,0.9,0.2,357.0
Jalen Nailor,WR,LV,16.0,0.2,0.1,1.2,0.0,0.0,2.4,12.7,0.1,63.9,37.9,522.0,3.8,0.7,26.1,0.3,0.2,322.0
Tank Dell,WR,HOU,16.0,0.2,0.1,0.9,0.0,0.0,5.7,30.3,0.2,64.4,40.3,522.9,3.2,1.6,25.6,0.4,0.2,288.0
Nate Boerkircher,TE,JAX,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,51.0,33.6,378.5,2.7,0.0,19.0,0.3,0.2,245.9
Eli Stowers,TE,PHI,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,51.0,33.6,378.5,2.7,0.0,19.0,0.3,0.2,237.0
Rashod Bateman,WR,BAL,16.0,0.2,0.1,1.3,0.0,0.0,1.3,7.0,0.0,68.3,39.8,519.0,3.8,0.4,25.5,0.3,0.2,252.0
Ryan Flournoy,WR,DAL,16.0,0.0,0.0,0.0,0.0,0.0,3.3,17.9,0.1,63.4,42.2,515.3,3.4,0.9,27.7,0.4,0.2,314.0
Kyle Monangai,RB,CHI,16.0,0.0,0.0,0.0,0.0,0.0,140.4,632.8,4.3,28.9,21.1,165.0,0.8,32.7,7.2,1.0,0.2,283.0
Rachaad White,RB,WAS,16.0,0.0,0.0,0.0,0.0,0.0,123.8,521.4,3.6,38.2,32.0,220.1,1.2,30.4,9.8,1.0,0.2,285.0
Adonai Mitchell,WR,NYJ,16.0,0.4,0.2,2.0,0.1,0.0,2.2,11.2,0.1,76.7,40.0,526.0,3.1,0.6,22.1,0.3,0.2,243.0
Dillon Gabriel,QB,CLE,16.0,279.4,183.0,1421.9,10.7,4.0,25.1,117.5,1.1,0.0,0.0,0.0,0.0,8.5,0.0,0.2,0.2,166.3
Woody Marks,RB,HOU,16.0,0.0,0.0,0.0,0.0,0.0,156.7,593.5,3.2,32.7,24.3,189.6,1.4,32.5,7.7,1.1,0.2,267.6
Michael Mayer,TE,LV,16.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,51.7,36.4,355.7,2.3,0.2,18.7,0.3,0.2,251.0
Cole Kmet,TE,CHI,16.0,0.4,0.3,0.0,0.0,0.0,0.5,1.3,0.0,48.7,34.1,359.6,2.6,0.3,18.1,0.3,0.2,250.0
Kyle Allen,QB,BUF,16.0,226.7,148.5,1461.2,9.6,4.5,28.4,115.3,1.3,1.3,1.0,7.1,0.1,9.2,0.3,0.2,0.2,163.7
Tyquan Thornton,WR,KC,16.0,0.0,0.0,0.0,0.0,0.0,1.3,7.2,0.0,57.0,33.3,513.9,3.1,0.4,21.5,0.3,0.2,296.4
Jalen Tolbert,WR,MIA,16.0,0.2,0.2,1.4,0.0,0.0,1.3,6.8,0.0,68.7,40.8,501.5,3.4,0.3,25.2,0.3,0.2,294.6
Travis Hunter,WR,JAX,16.0,0.0,0.0,0.0,0.0,0.0,2.1,11.2,0.1,68.7,42.9,508.6,3.0,0.6,23.0,0.4,0.2,241.0
Cooper Kupp,WR,SEA,16.0,0.4,0.2,2.0,0.1,0.0,1.1,5.8,0.0,64.4,41.5,510.4,2.9,0.3,22.9,0.3,0.2,217.0
Tyjae Spears,RB,TEN,16.0,0.0,0.0,0.0,0.0,0.0,101.8,418.3,3.2,46.6,38.5,262.6,1.2,23.1,10.9,0.9,0.2,271.0
Kenny Pickett,QB,CAR,16.0,262.9,172.2,1454.7,9.0,5.8,28.0,114.9,1.3,0.9,0.7,5.1,0.1,10.0,0.2,0.2,0.2,161.8
DeMario Douglas,WR,NE,16.0,0.0,0.0,0.0,0.0,0.0,4.7,24.2,0.2,60.4,39.9,498.6,2.9,1.3,22.2,0.3,0.2,292.6
Devaughn Vele,WR,NO,16.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,0.0,63.7,40.7,497.3,3.2,0.3,26.8,0.3,0.2,283.0
Trevor Siemian,QB,ATL,16.0,240.4,157.5,1459.2,9.5,5.0,25.1,110.0,1.2,0.0,0.0,0.0,0.0,8.8,0.0,0.2,0.2,160.4
Nick Mullens,QB,JAX,16.0,209.8,137.4,1470.6,8.9,4.9,31.9,115.2,1.4,1.0,0.8,5.6,0.1,9.4,0.3,0.2,0.2,160.1
Noah Fant,TE,NO,16.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.0,46.2,35.0,342.2,2.5,0.2,16.5,0.3,0.2,221.6
Xavier Hutchinson,WR,HOU,16.0,0.2,0.1,1.2,0.0,0.0,2.8,15.4,0.1,65.3,39.7,489.1,3.1,0.8,22.7,0.3,0.2,288.0
Tanner McKee,QB,PHI,16.0,223.6,146.5,1428.3,9.2,4.3,29.2,116.6,1.3,0.0,0.0,0.0,0.0,9.4,0.0,0.2,0.2,158.2
Max Klare,TE,LA,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,30.8,347.3,2.5,0.0,17.4,0.2,0.2,217.8
Shane Buechele,QB,BUF,16.0,233.2,152.7,1437.9,9.0,4.2,25.6,112.8,1.2,0.0,0.0,0.0,0.0,8.8,0.0,0.2,0.2,157.0
Kayshon Boutte,WR,NE,16.0,0.0,0.0,0.0,0.0,0.0,0.8,4.3,0.0,51.8,33.8,481.9,3.3,0.2,23.0,0.3,0.2,226.0
Marlin Klein,TE,HOU,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,30.3,341.3,2.4,0.0,17.1,0.2,0.2,211.8
Jordan Mason,RB,MIN,16.0,0.0,0.0,0.0,0.0,0.0,133.9,632.9,4.5,20.6,16.5,111.1,0.6,35.3,4.6,0.9,0.2,273.0
Tyler Higbee,TE,LA,16.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,44.1,31.1,325.7,2.7,0.2,17.7,0.3,0.2,211.2
Kendrick Bourne,WR,AZ,16.0,0.1,0.1,0.7,0.0,0.0,1.1,5.7,0.0,56.1,37.2,494.1,2.2,0.3,23.5,0.3,0.2,280.3
Andy Dalton,QB,PHI,16.0,227.1,148.7,1438.3,8.9,5.1,21.8,88.3,1.0,0.8,0.6,4.5,0.1,7.0,0.2,0.1,0.2,154.0
Andrei Iosivas,WR,CIN,16.0,0.0,0.0,0.0,0.0,0.0,2.2,11.9,0.1,60.8,36.4,465.9,3.1,0.6,24.3,0.3,0.2,224.0
Xavier Legette,WR,CAR,16.0,0.0,0.0,0.0,0.0,0.0,2.2,11.7,0.1,69.2,40.6,463.1,3.4,0.6,22.8,0.3,0.2,278.9
Marquise Brown,WR,PHI,16.0,0.0,0.0,0.0,0.0,0.0,0.9,4.9,0.0,60.9,38.3,466.0,3.2,0.2,23.0,0.3,0.2,276.3
Denzel Boston,WR,CLE,16.0,0.0,0.0,0.0,0.0,0.0,2.9,9.7,0.0,66.7,38.9,484.6,2.2,0.4,22.9,0.3,0.2,352.0
Darnell Washington,TE,PIT,16.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,43.6,31.2,335.0,2.1,0.2,16.0,0.3,0.2,251.0
Christian Kirk,WR,SF,16.0,0.1,0.1,0.8,0.0,0.0,1.0,5.6,0.0,68.9,40.6,469.8,2.8,0.3,22.5,0.3,0.2,274.2
Jahan Dotson,WR,ATL,16.0,0.2,0.1,1.3,0.0,0.0,1.3,7.2,0.0,62.7,36.5,468.1,2.8,0.4,21.6,0.3,0.2,273.6
Dawson Knox,TE,BUF,16.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,41.7,29.6,322.9,2.5,0.2,16.7,0.2,0.2,218.0
Isiah Pacheco,RB,DET,16.0,0.0,0.0,0.0,0.0,0.0,132.1,541.1,3.0,31.0,24.1,162.9,1.1,29.9,7.1,1.0,0.2,245.8
Darnell Mooney,WR,NYG,16.0,0.1,0.1,0.7,0.0,0.0,0.9,4.6,0.0,63.1,34.3,466.5,2.5,0.2,23.7,0.3,0.2,271.6
Matthew Golden,WR,GB,16.0,0.0,0.0,0.0,0.0,0.0,7.1,37.8,0.2,56.7,36.1,453.8,2.2,2.0,21.1,0.3,0.2,414.0
Elic Ayomanor,WR,TEN,16.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8,0.0,66.8,35.6,448.9,3.2,0.1,23.7,0.3,0.2,269.6
Bailey Zappe,QB,NYJ,16.0,204.6,134.0,1251.4,8.1,5.0,31.3,137.6,1.5,0.0,0.0,0.0,0.0,10.8,0.0,0.2,0.2,147.8
Calvin Austin III,WR,NYG,16.0,0.0,0.0,0.0,0.0,0.0,1.6,8.5,0.1,59.2,35.5,449.0,3.1,0.4,19.3,0.3,0.2,267.7
James Conner,RB,AZ,16.0,0.0,0.0,0.0,0.0,0.0,114.5,491.5,3.7,27.0,21.7,158.6,1.0,28.8,7.6,0.9,0.2,239.9
MarShawn Lloyd,RB,GB,16.0,0.0,0.0,0.0,0.0,0.0,112.3,482.2,3.6,29.5,23.1,170.8,1.0,25.2,7.5,0.9,0.2,239.9
Germie Bernard,WR,PIT,16.0,0.0,0.0,0.0,0.0,0.0,2.7,9.3,0.0,62.3,36.4,452.8,2.1,0.4,21.4,0.3,0.2,247.0
De'Zhaun Stribling,WR,SF,16.0,0.0,0.0,0.0,0.0,0.0,2.7,9.3,0.0,62.3,36.4,452.8,2.1,0.4,21.4,0.3,0.2,319.0
Matthew Hibner,TE,BAL,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,31.5,309.3,1.7,0.0,15.2,0.3,0.2,184.8
Zach Wilson,QB,NO,16.0,219.1,143.5,1276.0,7.7,4.0,25.8,112.0,1.2,0.0,0.0,0.0,0.0,8.4,0.0,0.2,0.2,142.9
Easton Stick,QB,IND,16.0,184.6,120.9,1185.3,7.3,3.3,34.0,151.3,1.6,0.0,0.0,0.0,0.0,11.9,0.0,0.2,0.2,142.3
Luke McCaffrey,WR,WAS,16.0,0.0,0.0,0.0,0.0,0.0,1.1,6.1,0.0,50.2,32.3,432.8,3.0,0.3,18.7,0.3,0.2,258.9
Jonathon Brooks,RB,CAR,16.0,0.0,0.0,0.0,0.0,0.0,108.1,461.7,3.4,29.0,22.8,169.0,1.0,24.0,7.5,0.8,0.2,322.0
Jayden Higgins,WR,HOU,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,33.2,422.5,3.3,0.0,21.3,0.3,0.2,257.6
Daniel Bellinger,TE,TEN,16.0,0.1,0.1,0.0,0.0,0.0,0.4,1.0,0.0,36.9,27.0,305.5,2.0,0.2,15.1,0.2,0.2,177.9
Blake Corum,RB,LA,16.0,0.0,0.0,0.0,0.0,0.0,117.3,561.2,4.1,19.2,14.5,102.4,0.6,32.1,4.7,0.8,0.2,233.0
Tyler Allgeier,RB,AZ,16.0,0.0,0.0,0.0,0.0,0.0,124.3,489.7,4.9,20.4,16.4,121.2,0.6,31.1,4.9,0.9,0.2,231.7
Chris Rodriguez Jr.,RB,JAX,16.0,0.0,0.0,0.0,0.0,0.0,122.0,543.6,5.0,15.8,12.4,93.6,0.5,32.4,4.1,0.8,0.2,229.0
Olamide Zaccheaus,WR,ATL,16.0,0.0,0.0,0.0,0.0,0.0,2.7,14.9,0.1,63.4,39.1,417.8,2.8,0.8,20.2,0.3,0.2,254.5
Kimani Vidal,RB,LAC,16.0,0.0,0.0,0.0,0.0,0.0,128.5,536.7,3.2,22.1,16.9,130.9,0.8,27.1,5.7,0.9,0.2,230.4
Noah Gray,TE,KC,16.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4,0.0,43.1,29.3,289.5,2.1,0.3,14.9,0.2,0.2,175.3
Chimere Dike,WR,TEN,16.0,0.0,0.0,0.0,0.0,0.0,6.6,32.3,0.2,58.7,37.4,398.2,3.0,1.6,19.0,0.3,0.2,245.0
Jaylin Noel,WR,HOU,16.0,0.0,0.0,0.0,0.0,0.0,4.7,23.9,0.2,51.2,33.9,411.4,2.6,1.2,19.2,0.3,0.2,288.0
Luke Musgrave,TE,GB,16.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,39.0,28.7,292.1,1.8,0.2,13.9,0.2,0.2,168.8
Roman Wilson,WR,PIT,16.0,0.0,0.0,0.0,0.0,0.0,1.2,6.5,0.0,51.9,31.8,409.5,2.8,0.3,19.1,0.3,0.2,247.9
Josh Palmer,WR,BUF,16.0,0.0,0.0,0.0,0.0,0.0,0.9,4.8,0.0,52.0,31.7,425.1,2.0,0.2,19.9,0.3,0.2,247.8
Brandon Allen,QB,NYG,16.0,216.9,142.0,1163.2,7.9,5.1,20.6,90.2,1.0,0.0,0.0,0.0,0.0,7.1,0.0,0.1,0.2,135.5
Justice Hill,RB,BAL,16.0,0.0,0.0,0.0,0.0,0.0,70.6,320.6,2.7,36.3,28.4,221.2,1.3,16.6,9.2,0.7,0.2,224.3
Tre Harris,WR,LAC,16.0,0.0,0.0,0.0,0.0,0.0,2.1,11.2,0.1,52.3,34.1,405.8,2.3,0.6,20.6,0.3,0.2,274.0
Pat Bryant,WR,DEN,16.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,0.0,52.5,32.9,410.2,2.3,0.2,21.3,0.3,0.2,241.0
Dylan Sampson,RB,CLE,16.0,0.0,0.0,0.0,0.0,0.0,89.8,319.1,2.1,36.8,29.4,226.5,1.4,18.7,8.6,0.8,0.2,222.8
Brock Wright,TE,DET,16.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,0.0,39.4,28.0,265.2,2.4,0.2,14.1,0.2,0.2,161.4
Chris Oladokun,QB,KC,16.0,202.3,132.5,1058.1,7.2,3.0,29.6,129.0,1.4,0.0,0.0,0.0,0.0,9.6,0.0,0.2,0.2,133.2
Tank Bigsby,RB,PHI,16.0,0.0,0.0,0.0,0.0,0.0,111.9,533.5,3.8,17.2,13.2,100.5,0.6,27.9,4.2,0.8,0.2,222.6
Case Keenum,QB,CHI,16.0,181.4,118.8,1161.5,7.6,3.9,20.6,90.3,1.0,0.0,0.0,0.0,0.0,7.1,0.0,0.1,0.2,132.5
Keaton Mitchell,RB,LAC,16.0,0.0,0.0,0.0,0.0,0.0,97.5,493.4,2.8,22.7,17.7,133.0,0.7,24.6,5.6,0.7,0.2,220.6
Isaac TeSlaa,WR,DET,16.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,0.0,46.3,28.5,377.6,3.4,0.3,19.3,0.2,0.2,206.0
Brian Robinson,RB,ATL,16.0,0.0,0.0,0.0,0.0,0.0,113.0,486.1,3.5,21.7,16.8,120.8,0.7,26.4,5.0,0.8,0.2,220.2
Jalen Milroe,QB,SEA,16.0,170.6,111.8,1121.9,7.3,3.4,24.4,104.5,1.2,0.0,0.0,0.0,0.0,8.1,0.0,0.1,0.2,131.4
Jack Bech,WR,LV,16.0,0.0,0.0,0.0,0.0,0.0,1.1,5.9,0.0,51.1,32.9,401.0,2.2,0.3,19.3,0.3,0.2,239.3
Tutu Atwell,WR,MIA,16.0,0.3,0.2,1.4,0.0,0.0,1.8,9.7,0.1,45.8,27.4,396.2,2.1,0.5,17.3,0.2,0.2,237.8
Marvin Mims Jr.,WR,DEN,16.0,0.0,0.0,0.0,0.0,0.0,8.2,44.2,0.3,49.1,33.1,374.0,2.3,2.2,16.0,0.3,0.2,237.5
Tyler Conklin,TE,DET,16.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,0.1,37.2,26.4,272.4,1.8,0.4,13.0,0.2,0.2,153.8
Diego Pavia,QB,BAL,16.0,253.7,166.2,1328.0,6.4,6.9,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,129.8
Kyron Drones,QB,GB,16.0,253.7,166.2,1328.0,6.4,6.9,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,129.8
Jaydon Blue,RB,DAL,16.0,0.0,0.0,0.0,0.0,0.0,116.9,468.9,3.6,20.8,16.3,120.2,0.7,25.0,5.2,0.8,0.2,217.0
Cedric Tillman,WR,CLE,16.0,0.0,0.0,0.0,0.0,0.0,1.1,5.8,0.0,52.8,30.9,387.1,2.6,0.3,18.5,0.3,0.2,236.6
Luke Altmyer,QB,DET,16.0,253.7,166.2,1328.0,6.4,6.9,31.0,72.4,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.2,0.2,129.5
Haynes King,QB,CAR,16.0,253.7,166.2,1328.0,6.4,6.9,31.0,72.4,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.2,0.2,129.5
Behren Morton,QB,NE,16.0,253.7,166.2,1328.0,6.4,6.9,31.0,72.4,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.2,0.2,129.5
Garrett Nussmeier,QB,KC,16.0,253.7,166.2,1328.0,6.4,6.9,31.0,72.4,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.2,0.2,129.5
Joe Fagnano,QB,BAL,16.0,253.7,166.2,1328.0,6.4,6.9,31.0,72.4,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.2,0.2,129.5
Matthew Caldwell,QB,LA,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Cole Payton,QB,PHI,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Jalon Daniels,QB,TB,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Athan Kaliakmanis,QB,WAS,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Taylen Green,QB,CLE,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Jacob Clark,QB,LV,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Miller Moss,QB,CHI,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Jack Strand,QB,ATL,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Mark Gronowski,QB,MIA,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Joey Aguilar,QB,JAX,16.0,251.6,164.8,1316.8,6.3,6.8,32.0,74.7,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.2,0.2,128.7
Jaylen Wright,RB,MIA,16.0,0.0,0.0,0.0,0.0,0.0,113.3,471.3,3.3,21.4,16.1,120.1,0.7,25.8,5.3,0.8,0.2,215.9
Sean Clifford,QB,CIN,16.0,152.6,100.0,1012.8,6.6,3.1,31.6,138.3,1.5,0.0,0.0,0.0,0.0,10.9,0.0,0.2,0.2,128.1
Braelon Allen,RB,NYJ,16.0,0.0,0.0,0.0,0.0,0.0,99.5,410.2,3.3,25.2,19.4,145.2,0.8,22.8,6.6,0.8,0.2,214.9
Jahdae Walker,WR,CHI,16.0,0.0,0.0,0.0,0.0,0.0,1.5,8.2,0.1,47.0,29.2,375.2,2.7,0.4,17.9,0.2,0.2,233.8
Isaiah Williams,WR,NYJ,16.0,0.8,0.5,4.5,0.1,0.1,3.5,19.4,0.1,53.4,35.1,374.2,2.2,1.0,18.3,0.3,0.2,232.8
Tory Horton,WR,SEA,16.0,0.0,0.0,0.0,0.0,0.0,1.2,6.3,0.0,47.0,29.0,364.7,3.3,0.3,17.1,0.2,0.2,222.0
Kalif Raymond,WR,CHI,16.0,0.0,0.0,0.0,0.0,0.0,2.4,13.5,0.1,44.3,30.5,382.1,2.1,0.7,18.1,0.3,0.2,232.6
S. Diggs,WR,WAS,,,,,,,,,,,,,,,,,,416.0
D. Samuel,WR,SF,,,,,,,,,,,,,,,,,,390.0
D. Waller,TE,CAR,,,,,,,,,,,,,,,,,,360.0
K. Allen,WR,IND,,,,,,,,,,,,,,,,,,283.0
T. Ferguson,TE,LA,,,,,,,,,,,,,,,,,,278.0
J. Lane,WR,BAL,,,,,,,,,,,,,,,,,,250.0
T. Hurst,WR,TB,,,,,,,,,,,,,,,,,,246.0
C. Douglas,WR,MIA,,,,,,,,,,,,,,,,,,235.0
C. Allen,WR,KC,,,,,,,,,,,,,,,,,,235.0
M. Fields,WR,NYG,,,,,,,,,,,,,,,,,,224.0
E. Arroyo,TE,SEA,,,,,,,,,,,,,,,,,,218.0
M. Washington,RB,LV,,,,,,,,,,,,,,,,,,211.0
